"ifis_id","link_id","foreign_id","description"
1614,503197,"06604000","Spirit Lake near Orleans (06604000-SLKI4)"
1627,503894,"05387320","Upper Iowa River at Lime Springs (05387320-LSPI4)"
1631,503963,"05387405","Upper Iowa River at Kendallville (05387405)"
519,503998,"05387440","Upper Iowa River at Bluffton (05387440)"
585,504030,"05387500","Upper Iowa River at Decorah (DEHI4-05387500)"
586,504104,"05388250","Upper Iowa River near Dorchester (DCHI4-05388250)"
1681,505703,"05388310","Waterloo Creek near Dorchester (05388310)"
549,509679,"05458000","Little Cedar River near Ionia (05458000)"
547,522692,"05457000","Cedar River near Austin, MN (05457000)"
548,522792,"05457505","Cedar River at Osage (05457505)"
601,522855,"05457700","Cedar River at Charles City (CCYI4-05457700)"
602,522951,"05458300","Cedar River at Waverly (WVLI4-05458300)"
603,522980,"05458500","Cedar River at Janesville (JANI4-05458500)"
1607,544317,"05420460","Beaver Slough at 3rd St at Clinton (05420460-CBSI4)"
648,553137,"06483290","Rock River below Tom Creek at Rock Rapids (RAPI4-06483290)"
558,555539,"05475350","Des Moines River near Windom, MN (05475350)"
559,555608,"05476000","Des Moines River at Jackson, MN (JCKM5-05476000)"
623,555675,"05476500","Des Moines River at Estherville (ESVI4-05476500)"
624,555741,"05476590","Des Moines River at Emmetsburg (EMTI4-05476590)"
625,555865,"05476750","Des Moines River at Humboldt (HBTI4-05476750)"
704,1000000002,"nebn1","Missouri River at Nebraska City (NEBN1)"
706,1000000004,"ptmn1","Missouri River at Plattsmouth (PTMN1)"
367,1000000006,"06610000","Missouri River at Omaha (06610000-OMHN1)"
675,1000000010,"blan1","Missouri River near Blair (BLAN1)"
682,1000000012,"dctn1","Missouri River at Decatur (DCTN1)"
708,1000000014,"06486000","Missouri River at Sioux City (06486000-SSCN1)"
701,1000000016,"mrpn1","Missouri River near Ponca (MRPN1)"
700,1000000018,"mkln1","Missouri River near Maskell (MKLN1)"
691,1000000020,"gyvs2","Missouri River near Gayville (GYVS2)"
713,1000000022,"yans2","Missouri River at Yankton (YANS2)"
709,1000000024,"06485950","Big Sioux River at Sioux City (06485950-SXCI4)"
674,1000000026,"06485500","Big Sioux River at Akron (06485500-AKRI4)"
692,1000000028,"hawi4","Big Sioux River at Hawarden (HAWI4)"
678,1000000030,"cans2","Big Sioux River near Canton (CANS2)"
710,1000000032,"sxfs2","Big Sioux River at N Cliff Ave at Sioux Falls (SXFS2)"
1622,1000000033,"06810070","Missouri River at Brownville (06810070-BRON1)"
1623,1000000034,"06813500","Missouri River at Rulo (06813500-RULN1)"
688,2000000002,"ggym7","Mississippi River at Gregory Landing (GGYM7)"
685,2000000004,"eoki4","Mississippi River at Keokuk (EOKI4)"
677,2000000008,"brli4","Mississippi River at Burlington (BRLI4)"
689,2000000010,"gldi2","Mississippi River at Gladstone (GLDI2)"
694,2000000012,"khbi2","Mississippi River at Keithsburg (KHBI2)"
703,2000000014,"nboi2","Mississippi River at New Boston (NBOI2)"
702,2000000016,"musi4","Mississippi River at Muscatine (MUSI4)"
693,2000000018,"ilni2","Mississippi River at Illinois City (ILNI2)"
707,2000000021,"rcki2","Mississippi River at Rock Island (RCKI2)"
696,2000000024,"leci4","Mississippi River at LeClaire (LECI4)"
680,2000000027,"05420500","Mississippi River at Camanche (05420500-CMMI4)"
686,2000000030,"flti2","Mississippi River at Fulton (FLTI2)"
676,2000000033,"blvi4","Mississippi River at Bellevue (BLVI4)"
681,2000000035,"dbqi4","Mississippi River at Dubuque (DBQI4)"
683,2000000036,"dldi4","Mississippi River at Dubuque (DLDI4)"
690,2000000038,"gtti4","Mississippi River at Guttenberg (GTTI4)"
699,2000000042,"mcgi4","Mississippi River at McGregor (MCGI4)"
698,2000000044,"lynw3","Mississippi River at Lynxville (LYNW3)"
697,2000000046,"lnsi4","Mississippi River at Lansing (LNSI4)"
687,2000000048,"genw3","Mississippi River at Genoa (GENW3)"
695,2000000050,"lacw3","Mississippi River at La Crosse (LACW3)"
1606,2000000051,"05411500","Mississippi River at Clayton (05411500-CLAI4)"
